group_12327	group_12327	1.0	core
group_12295	group_12295	1.0	core
group_12294	group_12294	1.0	core
group_12293	group_12293	1.0	core
rimP	rimP	1.0	core
group_12236	group_12236	1.0	core
group_12224	group_12224	1.0	core
group_12223	group_12223	1.0	core
group_12222	group_12222	1.0	core
group_12210	group_12210	1.0	core
asnC	asnC	1.0	core
group_12201	group_12201	1.0	core
group_12183	group_12183	1.0	core
group_12180	group_12180	1.0	core
group_12160	group_12160	1.0	core
group_12158	group_12158	1.0	core
group_12157	group_12157	1.0	core
group_12131	group_12131	1.0	core
group_12117	group_12117	1.0	core
group_12110	group_12110	1.0	core
group_12080	group_12080	1.0	core
group_12079	group_12079	1.0	core
group_12063	group_12063	1.0	core
group_12062	group_12062	1.0	core
group_12016	group_12016	1.0	core
group_12004	group_12004	1.0	core
group_12002	group_12002	1.0	core
group_11986	group_11986	1.0	core
group_11985	group_11985	1.0	core
group_11974	group_11974	1.0	core
group_11972	group_11972	1.0	core
group_11954	group_11954	1.0	core
group_11953	group_11953	1.0	core
group_11952	group_11952	1.0	core
group_11930	group_11930	1.0	core
group_11899	group_11899	1.0	core
rseA	rseA	1.0	core
kdsC	kdsC	1.0	core
group_11833	group_11833	1.0	core
group_11811	group_11811	1.0	core
group_11788	group_11788	1.0	core
rimM	rimM	1.0	core
group_11787	group_11787	1.0	core
group_11786	group_11786	1.0	core
group_11780	group_11780	1.0	core
group_11770	group_11770	1.0	core
group_11743	group_11743	1.0	core
group_11742	group_11742	1.0	core
group_11723	group_11723	1.0	core
group_11720	group_11720	1.0	core
group_11700	group_11700	1.0	core
group_11697	group_11697	1.0	core
group_11657	group_11657	1.0	core
group_11637	group_11637	1.0	core
group_11633	group_11633	1.0	core
group_11632	group_11632	1.0	core
group_11631	group_11631	1.0	core
group_11612	group_11612	1.0	core
group_11611	group_11611	1.0	core
group_11605	group_11605	1.0	core
group_11595	group_11595	1.0	core
group_11566	group_11566	1.0	core
group_11565	group_11565	1.0	core
group_11564	group_11564	1.0	core
ruvC	ruvC	1.0	core
group_11544	group_11544	1.0	core
group_11543	group_11543	1.0	core
group_11540	group_11540	1.0	core
group_11524	group_11524	1.0	core
group_11521	group_11521	1.0	core
group_11506	group_11506	1.0	core
group_11504	group_11504	1.0	core
group_11478	group_11478	1.0	core
group_11477	group_11477	1.0	core
group_11476	group_11476	1.0	core
group_11457	group_11457	1.0	core
group_11455	group_11455	1.0	core
lemA	lemA	1.0	core
group_11446	group_11446	1.0	core
group_11434	group_11434	1.0	core
group_11396	group_11396	1.0	core
group_11382	group_11382	1.0	core
group_11380	group_11380	1.0	core
group_11377	group_11377	1.0	core
group_11363	group_11363	1.0	core
group_11362	group_11362	1.0	core
group_11351	group_11351	1.0	core
group_11333	group_11333	1.0	core
group_11303	group_11303	1.0	core
group_11301	group_11301	1.0	core
